2.321000000000000085e+01,2.339000000000000057e+01,2.298999999999999844e+01,2.289999999999999858e+01,2.839400000000000000e+04,-2.099999999999999922e-01,-9.100000000000000311e-01,2.322400000000000020e+01,2.331299999999999883e+01,2.331599999999999895e+01,3.568943000000000029e+04,5.021029000000000087e+04,5.388776999999999680e+04,7.099999999999999645e-01,2017-12-22
2.339000000000000057e+01,2.350000000000000000e+01,2.321000000000000085e+01,2.285999999999999943e+01,3.400555000000000291e+04,-1.100000000000000006e-01,-4.699999999999999734e-01,2.322599999999999909e+01,2.327499999999999858e+01,2.338899999999999935e+01,3.869905999999999767e+04,5.274309999999999854e+04,5.512608999999999651e+04,8.499999999999999778e-01,2017-12-21
2.360999999999999943e+01,2.396000000000000085e+01,2.332999999999999829e+01,2.319999999999999929e+01,4.336891999999999825e+04,-1.400000000000000133e-01,-5.999999999999999778e-01,2.327799999999999869e+01,2.317999999999999972e+01,2.342999999999999972e+01,4.091018000000000029e+04,5.420451000000000204e+04,5.724513999999999942e+04,1.090000000000000080e+00,2017-12-20
2.323000000000000043e+01,2.366000000000000014e+01,2.346000000000000085e+01,2.323000000000000043e+01,4.306869999999999709e+04,3.099999999999999978e-01,1.340000000000000080e+00,2.337399999999999878e+01,2.305300000000000082e+01,2.352599999999999980e+01,4.596822000000000116e+04,5.513408999999999651e+04,5.849016999999999825e+04,1.080000000000000071e+00,2017-12-19
2.300000000000000000e+01,2.348999999999999844e+01,2.312999999999999901e+01,2.282999999999999829e+01,2.961000000000000000e+04,1.199999999999999956e-01,5.200000000000000178e-01,2.347800000000000153e+01,2.287699999999999889e+01,2.361700000000000088e+01,6.239575000000000000e+04,5.869408999999999651e+04,6.033145999999999913e+04,7.399999999999999911e-01,2017-12-18
2.339999999999999858e+01,2.339999999999999858e+01,2.300000000000000000e+01,2.285000000000000142e+01,4.344215000000000146e+04,-4.600000000000000200e-01,-1.959999999999999964e+00,2.340200000000000102e+01,2.285600000000000165e+01,2.371499999999999986e+01,6.473115000000000146e+04,6.428137000000000262e+04,6.513462000000000262e+04,1.090000000000000080e+00,2017-12-15
2.364999999999999858e+01,2.376999999999999957e+01,2.346999999999999886e+01,2.321999999999999886e+01,4.506112000000000262e+04,-3.300000000000000155e-01,-1.389999999999999902e+00,2.332400000000000162e+01,2.297400000000000020e+01,2.386899999999999977e+01,6.678713999999999942e+04,6.428926000000000204e+04,7.132216999999999825e+04,1.129999999999999893e+00,2017-12-14
2.398999999999999844e+01,2.437999999999999901e+01,2.380999999999999872e+01,2.360000000000000142e+01,6.865911999999999534e+04,-1.499999999999999944e-01,-6.300000000000000044e-01,2.308200000000000074e+01,2.305199999999999960e+01,2.410399999999999920e+01,6.749883999999999651e+04,6.478047000000000116e+04,7.347539999999999418e+04,1.719999999999999973e+00,2017-12-13
2.260999999999999943e+01,2.414000000000000057e+01,2.398000000000000043e+01,2.260999999999999943e+01,1.252063600000000006e+05,1.209999999999999964e+00,5.309999999999999609e+00,2.273199999999999932e+01,2.310000000000000142e+01,2.433699999999999974e+01,6.429997000000000116e+04,6.348044000000000233e+04,7.611341999999999825e+04,3.129999999999999893e+00,2017-12-12
2.260999999999999943e+01,2.294000000000000128e+01,2.275000000000000000e+01,2.250000000000000000e+01,4.128700000000000000e+04,1.400000000000000133e-01,6.199999999999999956e-01,2.227599999999999980e+01,2.317200000000000060e+01,2.460500000000000043e+01,5.499243000000000029e+04,5.586066000000000349e+04,8.204175999999999476e+04,1.030000000000000027e+00,2017-12-11
